"","TweetID","TweetText","FavoriteCount","RetweetCount","TitleID"
"1",NA,NA,NA,NA,"tt2570738"
"2",NA,NA,NA,NA,"tt2570750"
"3","1018941512758059008","$18M North Knoxville  complex deal exemplifies market growth &gt;&gt;/L9kjiTZ6v1 via   ","0","1","tt2570792"
"4","1017985696819183616","“Nothing great was ever achieved without enthusiasm.” – Ralph Waldo Emerson    |…/l60c36tI57","0","0","tt2570792"
"5","1019338478679658496","13 GREAT tips to deal with the stress of  a  

[I'd say these tips of course ALSO apply to buy…/DQuxag8Xx9","1","0","tt2570792"
"6","1018836728453517312","13 GREAT tips to deal with the stress of  a  

[I'd say these tips of course ALSO apply to buy…/lbh1VNzpUn","0","0","tt2570792"
"7","1017368536979828736","Short stay: The Rosebery  Clerkenwell,  UK/LDBrXHrf0s","2","0","tt2570792"
"8","1019789429609672704","""Astronauts would have had an exhilarating ride and safe landing"" -  
  /7E3REY5PwY","0","0","tt2570812"
"9","1018806535500259328","""Challenges are what makes life interesting. Overcoming them is makes life meaningful."" - Joshua J. Marine 
…/CDacMvN5dt","1","0","tt2570812"
"10","1016570497100726272","<U+8708>
        Ni       
20:20  14 <U+2B85>
Charlotte Bird …/EvUcXcLjX5","0","0","tt2570812"
"11","1018549446542442496","<U+8708>
        Ni       
20:20  14 <U+2B85>
Charlotte Bird …/PkjgpOhKsm","0","0","tt2570812"
"12","1019476816996773888","  technique predicts risk of   in 
/yAS8hGm3Ud","1","0","tt2570812"
"13","1018939260181700608"," Ton
&lt;<U+2B22>&gt;*
 <U+2B85>

5  Prime
20:20 
6-9 
…/SvBUphZTD0","0","0","tt2570812"
"14","1019096316570320896","  0111 <U+2B87>
 85  <U+2B8A>
 <U+2B18> Harmonics <U+2B9E>
20:20 Ocean Breeze
20:20 Mango Tango…/xSXw3uTpdy","0","0","tt2570812"
"15","1017810215406919680","          Gold's Gym Houston…/ToTRDt8Jh6","1","0","tt2570812"
"16","1016640113818918912"," in  that isn't  or  _NorthEast   …/Rmkpjumw9i","2","0","tt2570812"
"17","1019642296143306752"," of  correlates to  of the nazi tanks made by ... the first electric propel…/iv01uw4vBL","0","0","tt2570812"
"18","1019883356513882112","    Moving Forward/nfccmHoGIL","0","0","tt2570812"
"19","1.018703557477e+18","_Traditional_2018
 slows the  of _cancer 
_Cancer abilities/4M7HC5eF9c","1","3","tt2570812"
"20","1018645328071929856","

 _ix  &amp; RG working 
-long 45s
  
 
…/9In86c89rx","98","25","tt2570812"
"21","1018087942294835200","   . LEAPing into the future on the women's agenda. Register to join t…/1Oh8UYwNzo","0","1","tt2570812"
"22","1019250391345745920","   . LEAPing into the future on the women's agenda. Register to join t…/4lXXkEvocb","0","0","tt2570812"
"23","1019470696815226880","   . LEAPing into the future on the women's agenda. Register to join t…/iRMmrpr0nY","2","1","tt2570812"
"24","1017707866633965568",". . . . Find out more about our _LEAP network from _SouthEast and…/iEZrTCh7la","3","0","tt2570812"
"25","1018674540132659200"," is about !  be ! If ur not  ur !/KahUkxGz60","0","0","tt2570812"
"26","1018476685036056576","2 regulates  a5 and ß1 levels    in   / Hase et al. Mol C…/dCY7yc1j5B","0","0","tt2570812"
"27","1018960012268490752","
Useful description of 
 &amp;  can lead to BIG changes…/XkZxRQwEqj","1","0","tt2570812"
"28","1018467561564975104"," on today's menu. <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E32><U+613C><U+3E61>
5 x 1mile . 
I don't usually do long reps as part of my  building…/Cl1gr8BRRN","0","0","tt2570812"
"29","1019601790013181952","2018 6thProspects     - read all about it on our websi…/BLvxyIjzfi","1","0","tt2570812"
"30","1018694564511735808","   Let's DO better yall!/RSBXQox98l","1","0","tt2570812"
"31","1018057532584136704","   __Field      - sound…/dh8FT53u5W","2","0","tt2570812"
"32","1017714903698862080","  is part of the   …/Q14GYZ6nK0","0","0","tt2570812"
"33","1017712494259855360"," time for   is part of the  …/zSLc8eD3pJ","0","1","tt2570812"
